Test Name,Timestamp,Time,CPU Usage (%),RAM Usage (MB),Network Usage (Bytes),Response Time (s)
Twinning and performance testing for one iWatch,2023-07-14 22:13:40,0.24775123596191406,81.4,4334.171875,1247969504,0.24688196182250977
Twinning and performance testing for one iWatch,2023-07-14 22:14:40,60.41513967514038,21.1,4450.19140625,1253535621,0.10427117347717285
Twinning and performance testing for one iWatch,2023-07-14 22:15:41,120.54272556304932,15.2,4481.25,1258898732,0.07320070266723633
Twinning and performance testing for one iWatch,2023-07-14 22:16:41,180.66344165802002,14.4,4495.4765625,1264361915,0.06009268760681152
Twinning and performance testing for one iWatch,2023-07-14 22:17:41,240.77466416358948,13.3,4514.6171875,1269785355,0.08546972274780273
Twinning and performance testing for one iWatch,2023-07-14 22:18:41,300.88957476615906,19.2,4527.5078125,1275263048,0.054898738861083984
Twinning and performance testing for one iWatch,2023-07-14 22:19:41,361.0146462917328,12.6,4524.8828125,1280701153,0.06614041328430176
Twinning and performance testing for one iWatch,2023-07-14 22:20:41,421.1195795536041,12.5,4519.234375,1286212436,0.055931806564331055
Twinning and performance testing for one iWatch,2023-07-14 22:21:41,481.2382638454437,10.8,4539.28515625,1291689600,0.05748581886291504
Twinning and performance testing for one iWatch,2023-07-14 22:22:41,541.3629910945892,9.6,4549.87890625,1297160531,0.0722658634185791
Twinning and performance testing for one iWatch,2023-07-14 22:23:41,601.4658546447754,10.1,4538.80078125,1302688509,0.043877363204956055
Twinning and performance testing for one iWatch,2023-07-14 22:24:42,661.5810408592224,9.9,4543.83203125,1308200716,0.05987071990966797
Twinning and performance testing for one iWatch,2023-07-14 22:25:42,721.7174806594849,10.2,4549.62890625,1313806279,0.06948375701904297
Twinning and performance testing for one iWatch,2023-07-14 22:26:42,781.8339779376984,18.8,4564.99609375,1319473775,0.05668044090270996
Twinning and performance testing for one iWatch,2023-07-14 22:27:42,841.9467160701752,18.2,4562.05859375,1325101122,0.04771852493286133
Twinning and performance testing for one iWatch,2023-07-14 22:28:42,902.0658888816833,10.7,4567.80078125,1330758913,0.05729985237121582
Twinning and performance testing for one iWatch,2023-07-14 22:29:42,962.1709213256836,9.6,4564.35546875,1336333829,0.049894094467163086
Twinning and performance testing for one iWatch,2023-07-14 22:30:42,1022.2710325717926,9.5,4561.78515625,1341928582,0.05840659141540527
Twinning and performance testing for one iWatch,2023-07-14 22:31:42,1082.373053073883,9.9,4574.66796875,1347550983,0.04271721839904785
Twinning and performance testing for one iWatch,2023-07-14 22:32:42,1142.4732208251953,10.6,4457.03125,1353184062,0.04108715057373047
Twinning and performance testing for one iWatch,2023-07-14 22:33:43,1202.6269538402557,10.0,4458.7265625,1358805003,0.08878302574157715
Twinning and performance testing for one iWatch,2023-07-14 22:34:43,1262.7139165401459,10.1,4448.578125,1364395662,0.04124188423156738
Twinning and performance testing for one iWatch,2023-07-14 22:35:43,1322.8145961761475,13.2,4465.015625,1369892595,0.041881561279296875
Twinning and performance testing for one iWatch,2023-07-14 22:36:43,1382.9169311523438,9.0,4469.234375,1375498084,0.04419684410095215
Twinning and performance testing for one iWatch,2023-07-14 22:37:43,1443.0206520557404,10.0,4456.93359375,1381115880,0.042093753814697266
Twinning and performance testing for one iWatch,2023-07-14 22:38:43,1503.0772709846497,8.3,4470.66015625,1386626083,0.041013479232788086
Twinning and performance testing for one iWatch,2023-07-14 22:39:43,1563.1886367797852,9.6,4451.109375,1392235558,0.04981374740600586
Twinning and performance testing for one iWatch,2023-07-14 22:40:43,1623.289647102356,9.8,4397.3984375,1397762443,0.03980064392089844
Twinning and performance testing for one iWatch,2023-07-14 22:41:43,1683.394389629364,11.0,4388.41015625,1403346886,0.0444028377532959
Twinning and performance testing for one iWatch,2023-07-14 22:42:43,1743.4925034046173,9.7,4388.05859375,1408964989,0.038591861724853516